Date	Machine	Compiler Flags	Buffer Size	Operation	Columns	DataType	Time	Time/BufSize
13-12-2017 09:06:24	ASUS Laptop		0.5	Sum	100	int	1749	349800
13-12-2017 09:06:24	ASUS Laptop		0.5	Multiply	0	int	70802	14160400
13-12-2017 09:06:24	ASUS Laptop		1	Sum	200	int	4071	407100
13-12-2017 09:06:24	ASUS Laptop		1	Multiply	0	int	222260	22226000
13-12-2017 09:06:24	ASUS Laptop		1.5	Sum	300	int	5886	392400
13-12-2017 09:06:24	ASUS Laptop		1.5	Multiply	0	int	423460	28230666.67
13-12-2017 09:06:24	ASUS Laptop		2	Sum	400	int	8169	408450
13-12-2017 09:06:24	ASUS Laptop		2	Multiply	0	int	724651	36232550
13-12-2017 09:06:24	ASUS Laptop		2.5	Sum	500	int	10192	407680
13-12-2017 09:06:25	ASUS Laptop		2.5	Multiply	0	int	967537	38701480
13-12-2017 09:06:25	ASUS Laptop		3	Sum	600	int	13120	437333.3333
13-12-2017 09:06:25	ASUS Laptop		3	Multiply	0	int	1297255	43241833.33
13-12-2017 09:06:26	ASUS Laptop		3.5	Sum	700	int	14906	425885.7143
13-12-2017 09:06:26	ASUS Laptop		3.5	Multiply	0	int	2019089	57688257.14
13-12-2017 09:06:26	ASUS Laptop		4	Sum	800	int	15766	394150
13-12-2017 09:06:27	ASUS Laptop		4	Multiply	0	int	2524299	63107475
13-12-2017 09:06:28	ASUS Laptop		4.5	Sum	900	int	24769	550422.2222
13-12-2017 09:06:29	ASUS Laptop		4.5	Multiply	0	int	2982175	66270555.56
13-12-2017 09:06:29	ASUS Laptop		5	Sum	1000	int	23617	472340
13-12-2017 09:06:30	ASUS Laptop		5	Multiply	0	int	3309147	66182940
13-12-2017 09:06:30	ASUS Laptop		5.5	Sum	1100	int	24830	451454.5455
13-12-2017 09:06:32	ASUS Laptop		5.5	Multiply	0	int	3776147	68657218.18
13-12-2017 09:06:32	ASUS Laptop		6	Sum	1200	int	24877	414616.6667
13-12-2017 09:06:34	ASUS Laptop		6	Multiply	0	int	3970589	66176483.33
13-12-2017 09:06:34	ASUS Laptop		6.5	Sum	1300	int	31268	481046.1538
13-12-2017 09:06:36	ASUS Laptop		6.5	Multiply	0	int	4435916	68244861.54
