Operation,Machine,DataType,Buffer Size,TimeAvg,TimeStd,Bytes,#Ops,Ops/T-Std,Ops/T-Mean,Ops/T+Dev
Multiply,ASUS Laptop,char,0.50,551177.70,4438.66,1,73058877,133.63,132.55,131.49
Multiply,ASUS Laptop,char,1.00,1749733.20,46055.33,1,206641710,121.29,118.10,115.07
Multiply,ASUS Laptop,char,1.50,3490125.40,32994.01,1,379625062,109.81,108.77,107.75
Multiply,ASUS Laptop,char,2.00,6622744.15,134897.83,1,584471018,90.09,88.25,86.49
Multiply,ASUS Laptop,char,2.50,9596609.05,198674.84,1,816823080,86.92,85.12,83.39
Multiply,ASUS Laptop,char,3.00,10161700.65,323161.14,1,1073741824,109.14,105.67,102.41
Multiply,ASUS Laptop,char,3.50,13621736.85,388069.25,1,1353069343,102.24,99.33,96.58
Multiply,ASUS Laptop,char,4.00,16350264.85,353120.55,1,1653133683,103.34,101.11,98.97
Multiply,ASUS Laptop,char,4.50,19059869.30,466794.27,1,1972589688,106.09,103.49,101.02
Multiply,ASUS Laptop,char,5.00,25809852.35,548726.67,1,2310324556,91.46,89.51,87.65
Multiply,ASUS Laptop,char,5.50,26394019.80,81396.18,1,2665397721,101.30,100.98,100.67
Multiply,ASUS Laptop,char,6.00,33139527.55,319741.90,1,3037000499,92.54,91.64,90.77
Multiply,ASUS Laptop,char,6.50,41185921.15,389804.45,1,3424427868,83.94,83.15,82.37
Multiply,ASUS Laptop,char,7.00,44588713.15,361379.94,1,3827058033,86.53,85.83,85.14
Multiply,ASUS Laptop,char,7.50,49445513.65,280577.59,1,4244337228,86.33,85.84,85.35
Multiply,ASUS Laptop,char,8.00,55386359.85,287931.70,1,4675768149,84.86,84.42,83.98
Multiply,ASUS Laptop,char,8.50,60893269.95,301777.46,1,5120900958,84.52,84.10,83.68
Multiply,ASUS Laptop,char,9.00,65650803.55,494711.18,1,5579326180,85.63,84.98,84.35
Multiply,ASUS Laptop,char,9.50,72706783.25,429369.81,1,6050669001,83.71,83.22,82.73
Multiply,ASUS Laptop,char,10.00,79334798.45,500284.96,1,6534584643,82.89,82.37,81.85
Multiply,ASUS Laptop,float,0.50,79349.35,5295.32,4,9132359,123.32,115.09,107.89
Multiply,ASUS Laptop,float,1.00,231802.45,7853.79,4,25830213,115.34,111.43,107.78
Multiply,ASUS Laptop,float,1.50,433536.00,14831.48,4,47453132,113.33,109.46,105.84
Multiply,ASUS Laptop,float,2.00,711918.25,19212.40,4,73058877,105.47,102.62,99.93
Multiply,ASUS Laptop,float,2.50,986947.30,26908.36,4,102102885,106.35,103.45,100.71
Multiply,ASUS Laptop,float,3.00,1307104.80,43627.35,4,134217728,106.23,102.68,99.37
Multiply,ASUS Laptop,float,3.50,2039255.50,31166.51,4,169133667,84.23,82.94,81.69
Multiply,ASUS Laptop,float,4.00,2020314.25,37213.41,4,206641710,104.20,102.28,100.43
Multiply,ASUS Laptop,float,4.50,2518896.30,29288.23,4,246573711,99.04,97.89,96.76
Multiply,ASUS Laptop,float,5.00,3393255.65,47223.79,4,288790569,86.31,85.11,83.94
Multiply,ASUS Laptop,float,5.50,3536343.50,102132.79,4,333174715,97.02,94.21,91.57
Multiply,ASUS Laptop,float,6.00,3997521.60,309290.43,4,379625062,102.93,94.97,88.15
Multiply,ASUS Laptop,float,6.50,4436586.70,342105.51,4,428053483,104.54,96.48,89.58
Multiply,ASUS Laptop,float,7.00,5110344.20,461120.01,4,478382254,102.90,93.61,85.86
Multiply,ASUS Laptop,float,7.50,5525638.45,283239.83,4,530542153,101.20,96.01,91.33
Multiply,ASUS Laptop,float,8.00,6582019.40,508232.35,4,584471018,96.23,88.80,82.43
Multiply,ASUS Laptop,float,8.50,7417429.45,658866.68,4,640112619,94.71,86.30,79.26
Multiply,ASUS Laptop,float,9.00,7907657.70,755222.73,4,697415772,97.51,88.19,80.51
Multiply,ASUS Laptop,float,9.50,8786576.50,916100.85,4,756333625,96.10,86.08,77.95
Multiply,ASUS Laptop,float,10.00,12395101.20,833572.87,4,816823080,70.65,65.90,61.75
Multiply,ASUS Laptop,int,0.50,76001.20,4930.79,4,9132359,128.50,120.16,112.84
Multiply,ASUS Laptop,int,1.00,224275.90,10144.37,4,25830213,120.63,115.17,110.19
Multiply,ASUS Laptop,int,1.50,416606.15,5749.34,4,47453132,115.50,113.90,112.35
Multiply,ASUS Laptop,int,2.00,691620.90,10608.85,4,73058877,107.28,105.63,104.04
Multiply,ASUS Laptop,int,2.50,958234.85,7217.66,4,102102885,107.36,106.55,105.76
Multiply,ASUS Laptop,int,3.00,1288569.50,76853.73,4,134217728,110.77,104.16,98.30
Multiply,ASUS Laptop,int,3.50,1952183.70,22271.18,4,169133667,87.64,86.64,85.66
Multiply,ASUS Laptop,int,4.00,2008414.95,121734.27,4,206641710,109.53,102.89,97.01
Multiply,ASUS Laptop,int,4.50,2479174.05,120034.59,4,246573711,104.52,99.46,94.86
Multiply,ASUS Laptop,int,5.00,3262679.30,53375.13,4,288790569,89.99,88.51,87.09
Multiply,ASUS Laptop,int,5.50,3451352.25,91188.17,4,333174715,99.15,96.53,94.05
Multiply,ASUS Laptop,int,6.00,3849542.75,55564.11,4,379625062,100.06,98.62,97.21
Multiply,ASUS Laptop,int,6.50,4363447.10,62313.83,4,428053483,99.52,98.10,96.72
Multiply,ASUS Laptop,int,7.00,4950219.80,74636.66,4,478382254,98.12,96.64,95.20
Multiply,ASUS Laptop,int,7.50,5426270.95,86750.32,4,530542153,99.36,97.77,96.23
Multiply,ASUS Laptop,int,8.00,6367317.55,151304.35,4,584471018,94.03,91.79,89.66
Multiply,ASUS Laptop,int,8.50,7162196.50,167732.73,4,640112619,91.52,89.37,87.33
Multiply,ASUS Laptop,int,9.00,7705061.65,239415.99,4,697415772,93.42,90.51,87.79
Multiply,ASUS Laptop,int,9.50,8470314.20,225731.99,4,756333625,91.74,89.29,86.97
